id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
22731717,Albergue ideal para disfrutar en grupo o en famlia,166842138,Iker,Ãlava,Labastida,42.63227,-2.83305,Entire home/apt,280,2,4,2019-06-30,0.08,2,350,0,bvi00002
22780188,ALDERDI EDER,6598471,People Rentals,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3208,-1.98452,Entire home/apt,833,1,24,2022-07-27,0.57,19,322,17,ESS01469
22784229,Ático rural entre las tres ciudades y 15km del mar,168317676,Arkaitz,GuipÃºzcoa,Elgoibar,43.20628,-2.39769,Entire home/apt,70,4,39,2022-09-10,0.70,1,316,8,ESS01929
22803919,ATERIAN. UNIQUE AND INVITING LOFT 1. WIFI,13522693,Aterian,GuipÃºzcoa,Zarautz,43.28272,-2.17746,Entire home/apt,120,1,18,2022-03-02,0.33,9,87,2,TSS00084
22807728,NUEVO. Habitacion triple. Bed&Breakfast,104527794,Carolina,GuipÃºzcoa,Ormaiztegi,43.04388,-2.2535,Private room,122,1,4,2020-08-30,0.08,4,269,0,
22808061,"TURQUESA :) PARKING & WIFI, Bilbao Apto, centro.",153527958,Ana,Vizcaya,Bilbao,43.2553,-2.94457,Entire home/apt,167,2,72,2022-09-02,1.32,1,154,2,E. BI - 957
22811318,Erreka Beach EBI 657,37560891,Julen,Vizcaya,Mundaka,43.40435,-2.70201,Entire home/apt,101,2,15,2022-06-06,0.27,1,349,1,EBI 657
22813746,Sopela Beach Home EBI00634,47130043,Arkaitz,Vizcaya,Sopelana,43.37825,-2.9954,Entire home/apt,106,3,52,2022-09-06,1.04,2,0,4,EBI-00634
22823189,Junior Suite + hidro en Mendi Alai,9485330,Victoria,Vizcaya,Karrantza Harana,43.22114,-3.3343,Private room,140,1,0,,,9,364,0,
22826129,2 Appt 5 kms de la plus belle plage du pays basque,167158984,Pierre,GuipÃºzcoa,Irun,43.33429,-1.74486,Entire home/apt,65,2,18,2022-09-18,0.33,2,0,11,64130000002BE
22837933,Garraitz Island,24075395,Edurne,Vizcaya,Lekeitio,43.36552,-2.50132,Entire home/apt,77,1,82,2022-09-16,1.59,1,199,42,EBI619
22845595,EGONA-TXU7  Vivienda acogedora en plena naturaleza,40549256,Egona,GuipÃºzcoa,Aia,43.28499,-2.13818,Entire home/apt,389,2,10,2021-10-10,0.21,30,0,1,ESS00918
22854491,Habitación cerca del metro bagatza.,62871004,Sergio,Vizcaya,Barakaldo,43.29592,-2.99612,Private room,40,2,44,2022-08-21,0.78,1,144,17,
22872473,Always Easy I Ondarreta,5254782,Always Easy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31425,-2.00145,Entire home/apt,302,1,30,2022-02-27,0.54,27,360,2,ESS00988
22903018,Bilbao – Casco Viejo – Parking – WIFI Gratis,150809814,J. Ramiro,Vizcaya,Bilbao,43.25582,-2.91656,Entire home/apt,90,2,273,2022-09-14,4.84,4,190,51,EBI00624
22905844,BILBAO Old town: Parking & Wifi,20692623,Jone,Vizcaya,Bilbao,43.2511,-2.92151,Entire home/apt,158,3,18,2022-08-20,0.34,1,354,1,EBI01899
22907406,"Apartment Hendaye, 1 bedroom, 6 pers.",133059316,Agence Poplidays 5,GuipÃºzcoa,Hondarribia,43.37094,-1.78309,Entire home/apt,250,1,0,,,29,363,0,642600001524D
22922073,15min walk OldTown+FREE PARKING+3/4BEDS,53835119,Andoni,Vizcaya,Bilbao,43.24334,-2.9251,Entire home/apt,99,2,135,2022-09-10,2.39,2,249,18,EBI639
22929794,"Habítacion privada en la ría,Euskalduna,San Mamés",113753044,Enrique,Vizcaya,Bilbao,43.26541,-2.95394,Private room,85,2,59,2022-09-07,1.26,1,214,1,LBI-324
22932801,Schönes kleines Zimmer mit Meeresblick,16164295,Eva,GuipÃºzcoa,Irun,43.33042,-1.80256,Private room,53,2,72,2022-09-14,1.32,3,53,19,LSS00152
22936493,Always Easy | Zurriola,5254782,Always Easy,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3233,-1.97815,Entire home/apt,381,1,48,2022-08-22,0.88,27,350,5,ESS01734
22958114,Bien moderne avec balcon en centre ville - FR-1-2-351,133058806,Agence Poplidays,GuipÃºzcoa,Hondarribia,43.35949,-1.77303,Entire home/apt,250,2,0,,,23,363,0,6426000034115
22977769,😀CAPORIZON Belle Vue somptueux T2 coeur de ville,67633032,Maxime,GuipÃºzcoa,Irun,43.35163,-1.77824,Entire home/apt,67,1,53,2022-09-18,0.97,1,3,12,6426000050234
22996212,La Concha Attic by FeelFree Rentals,124008929,FeelFree Rentals,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31933,-1.98119,Entire home/apt,265,2,34,2022-08-25,0.62,110,345,9,ESS01716
22997280,Bilbao Design & Elegance- EBI 00579,170568222,Crisol Apartment,Vizcaya,Bilbao,43.25803,-2.9245,Entire home/apt,104,1,256,2022-09-15,4.66,1,311,69,EBI-00579
23013664,IBARROLA,85246818,People Rentals,Vizcaya,Bilbao,43.25847,-2.94179,Entire home/apt,241,1,30,2022-09-01,0.54,30,285,7,EBI00697
23016048,Habitación con baño privado a 3 min del metro,5252120,Keltse,Vizcaya,Barakaldo,43.2965,-2.98643,Private room,46,2,38,2022-07-17,0.70,1,83,13,
23031390,★ San Sebastian Escape! ★,122050593,Kiwi,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.30726,-1.97559,Entire home/apt,160,1,146,2022-08-28,2.64,13,330,26,ESS02037
23035791,Preciosa Habitacion Triple Bed&Breakfast,104527794,Carolina,GuipÃºzcoa,Ormaiztegi,43.04436,-2.2521,Private room,122,1,2,2019-08-19,0.04,4,364,0,
23038644,"001 / BELLA EASO, in the city center",98189424,Iberorent Apartments,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31459,-1.98026,Entire home/apt,275,1,24,2022-09-12,0.44,22,70,6,ESS00485
23056638,Single room - Petit Goierri Bed&breakfast 205,104527794,Carolina,GuipÃºzcoa,Ormaiztegi,43.04361,-2.25381,Private room,52,1,2,2021-08-16,0.15,4,269,0,
23071088,Bellavista view Zurriola Beach + PARKING,25039584,Ss Housing,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32359,-1.98252,Entire home/apt,152,2,79,2022-09-11,1.50,22,52,24,
23082596,IMPRESIONANTE habitacion Hotel Bed&Breakfast,104527794,Carolina,GuipÃºzcoa,Ormaiztegi,43.04419,-2.25217,Private room,150,1,3,2021-08-08,0.06,4,269,0,HSS00800
23085341,Apartamento Pío Baroja + GARAJE y WIFI GRATUÍTO,137372441,Estibaliz,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.3111,-1.99473,Entire home/apt,254,2,44,2022-07-13,0.79,5,356,1,ESS02526
23090108,Piso en Plentzia.,171481134,David,Vizcaya,Gorliz,43.40542,-2.94452,Entire home/apt,65,6,2,2018-05-13,0.04,1,178,0,
23115643,Cottage Caserta,87902803,Daniel,GuipÃºzcoa,Hondarribia,43.33556,-1.83849,Entire home/apt,229,2,4,2021-10-31,0.16,1,171,2,ESS01672
23120362,Piso a estrenar. Old town. Superbistak!,171793203,Paul,Vizcaya,Lekeitio,43.36583,-2.50285,Entire home/apt,99,2,24,2022-09-01,0.44,1,242,7,E-BI-650
23135935,Bonito piso en el centro de Irún a 4 Km de hendaya,6069913,Eduvigis,GuipÃºzcoa,Irun,43.33921,-1.79127,Entire home/apt,100,2,46,2022-09-24,0.83,1,357,6,B31763691
23205610,Urbanizacion 1ª  linea de playa.Piscina .Centro,65946342,Andoni,GuipÃºzcoa,Zarautz,43.28733,-2.16671,Entire home/apt,143,3,15,2022-09-05,0.27,3,362,4,
23213444,Mendi Alai. Habitación Haya. Sillas de ruedas ok.,9485330,Victoria,Vizcaya,Karrantza Harana,43.22124,-3.33271,Private room,75,1,0,,,9,364,0,
23225283,"Habitación individual ""A""",166559335,Francisco,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.31095,-1.97314,Private room,32,1,354,2022-09-25,6.37,2,159,84,
23229263,Bilbao·City Center·Guggenheim·Abando · From 1888,937934,Leòn,Vizcaya,Bilbao,43.26682,-2.93261,Entire home/apt,142,2,147,2022-08-25,2.63,3,40,43,E-BI-388
23229509,Gloria Suites 3 - 2 dormitorios,3746437,Nuria,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32303,-1.97377,Entire home/apt,246,1,30,2022-08-21,0.56,13,339,20,ESS01809
23246570,Good People Surf Camp Zarautz,5485374,Jeroen,GuipÃºzcoa,Zarautz,43.28803,-2.14579,Shared room,35,5,22,2022-08-20,0.43,1,0,3,
23262470,Apartement four people in Centro - gros.,10725302,Aizlur,GuipÃºzcoa,Donostia-San SebastiÃ¡n,43.32213,-1.9677,Entire home/apt,164,1,11,2022-09-21,0.21,3,353,6,ESS01724
23271178,T2 Le Croisière by Basquelidays,78058732,Eva Y Mikel,GuipÃºzcoa,Hondarribia,43.37336,-1.77423,Entire home/apt,91,1,55,2022-08-13,1.01,20,66,11,64260000277E8
23273259,Apto. en Getxo junto a la playa y el metro,118569666,Laura,Vizcaya,Getxo,43.35629,-3.01726,Entire home/apt,100,4,51,2022-09-03,0.93,1,347,20,E-BI-596
23307168,"Zarautz. Muy cerca de la playa, piscina en verano",173541785,Jose Luis,GuipÃºzcoa,Zarautz,43.28766,-2.1611,Entire home/apt,124,6,8,2022-08-30,0.15,1,179,3,
23332620,"T3 familial authentique, 2min de la plage, parking",19897139,Corinne,GuipÃºzcoa,Hondarribia,43.37228,-1.77473,Entire home/apt,115,6,15,2022-08-30,0.30,1,0,3,64260001173FD
23345477,Lekeitio Apartment,85684651,Felix,Vizcaya,Lekeitio,43.36249,-2.50773,Entire home/apt,85,2,49,2022-09-06,0.90,1,273,9,EB1648
23348113,APART. FRONTON  ACCESO DIRECTO PLAYA,87672670,Roberto Y Susana,Vizcaya,Gautegiz Arteaga,43.39339,-2.68281,Entire home/apt,228,4,31,2022-08-20,0.62,2,177,13,LBI00349
23351768,APART KIZKITZA exclusivo URDAIBAI con acceso playa,87672670,Roberto Y Susana,Vizcaya,Gautegiz Arteaga,43.38844,-2.68195,Entire home/apt,215,4,42,2022-08-30,0.77,2,74,9,LBI00349
23357936,Casa amplia y luminosa en el centro de Bilbao.,174057707,Beatriz & Luis,Vizcaya,Bilbao,43.26011,-2.93169,Entire home/apt,207,2,24,2020-02-14,0.46,1,73,0,E-BI-752
23363492,10 min pie Catedral de Sta Maria.Garaje gratuito,26341090,Pilar,Ãlava,Vitoria-Gasteiz,42.85353,-2.6785,Entire home/apt,78,2,184,2022-09-25,3.33,1,135,55,EVI0076
