listing_id,date
357026,2014-07-25
357026,2014-09-25
357026,2015-06-26
357026,2015-09-06
357026,2015-09-14
357026,2016-04-30
357026,2017-06-16
357026,2017-06-26
357026,2017-07-23
357026,2017-09-12
357026,2017-09-22
357026,2018-06-23
357026,2018-06-30
357026,2018-07-10
357026,2018-07-26
357026,2018-09-21
357026,2018-10-01
357026,2019-06-30
357026,2019-07-27
357026,2019-08-04
357026,2019-09-07
357026,2019-09-25
357026,2020-07-05
357026,2020-07-15
357026,2020-07-23
357026,2020-07-31
357026,2020-09-13
357026,2021-06-23
357026,2021-06-30
357026,2021-07-05
357026,2021-07-22
357026,2021-09-10
357026,2021-09-26
357026,2022-05-28
357026,2022-06-02
357026,2022-06-05
357026,2022-06-10
357026,2022-06-19
357026,2022-06-28
357026,2022-07-07
357026,2022-07-13
357026,2022-07-25
357026,2022-09-02
357026,2022-09-15
357026,2022-09-19
357026,2022-09-23
358378,2014-09-23
358378,2014-10-16
358378,2015-04-27
358378,2015-06-29
358378,2015-07-04
358378,2015-07-12
358378,2015-09-27
358378,2016-06-07
358378,2016-07-01
358378,2016-09-25
358378,2017-04-11
358378,2017-06-21
358378,2017-07-02
358378,2017-08-30
358378,2017-09-19
358378,2017-10-25
358378,2017-11-02
358378,2017-11-12
358378,2018-04-08
358378,2018-04-18
358378,2018-04-29
358378,2018-06-29
358378,2018-08-13
358378,2018-09-29
358378,2018-10-07
358378,2018-10-27
358378,2019-06-29
358378,2019-08-28
358378,2019-09-16
358378,2019-10-08
358378,2019-10-19
358378,2020-06-24
358378,2020-07-03
358378,2020-07-23
358378,2020-08-01
358378,2020-08-12
358378,2020-08-21
358378,2020-08-29
358378,2020-09-10
358378,2020-09-17
358378,2020-09-24
358378,2020-10-07
358378,2021-05-28
358378,2021-06-15
358378,2021-06-23
358378,2021-07-01
358378,2021-08-05
358378,2021-08-12
358378,2021-08-19
358378,2021-08-25
358378,2021-08-31
358378,2021-09-12
358378,2021-09-21
358378,2021-10-02
358378,2021-10-11
358378,2021-10-25
358378,2021-11-02
358378,2022-04-25
358378,2022-05-24
358378,2022-06-29
358378,2022-08-09
358378,2022-08-14
358378,2022-09-09
358378,2022-09-23
366358,2012-05-07
366358,2014-01-31
366358,2014-04-16
366358,2014-04-18
366358,2014-04-24
366358,2014-05-06
366358,2014-09-30
366358,2014-10-14
366358,2014-10-26
366358,2015-04-07
366358,2015-04-17
366358,2015-05-02
366358,2015-05-13
366358,2015-07-25
366358,2015-09-09
366358,2015-09-14
366358,2015-10-10
366358,2015-10-19
366358,2015-10-28
366358,2015-11-07
366358,2016-04-09
366358,2016-05-16
366358,2016-06-23
366358,2016-09-23
366358,2016-10-08
366358,2016-10-24
366358,2017-07-09
366358,2017-08-18
366358,2018-03-29
366358,2018-05-08
366358,2018-06-08
366358,2018-06-29
366358,2019-04-28
366358,2019-10-23
366358,2020-07-25
366358,2021-08-21
366358,2021-10-30
366358,2022-07-28
366636,2013-08-22
366636,2014-08-30
366636,2015-06-25
366636,2015-09-01
366636,2016-02-17
366636,2016-06-24
366636,2017-07-29
366636,2018-06-27
366636,2018-07-11
366636,2018-09-16
366636,2019-07-13
366636,2019-07-22
366636,2019-07-31
366636,2019-08-24
366636,2019-09-03
366636,2020-07-31
366636,2020-08-27
366636,2021-07-20
366636,2021-07-31
366636,2021-08-26
366636,2021-09-02
366636,2022-07-03
366636,2022-07-31
366636,2022-08-12
366636,2022-08-24
370676,2018-06-03
370676,2018-07-08
370676,2018-07-18
370676,2018-07-22
370676,2020-08-29
370676,2022-07-31
370676,2022-08-15
372756,2012-08-16
382144,2012-04-08
382144,2012-05-29
382144,2012-07-30
382144,2013-04-26
382144,2013-05-06
382144,2013-08-28
382144,2013-11-05
382144,2014-03-28
