id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
23269093,BILOCALE MANSARDATO /  MANSARD ON NAVIGLIO PAVESE,78992627,Vanessa,,STADERA,45.43738,9.17258,Entire home/apt,110,7,0,,,1,137,0,
23443810,Attico con terrazzo - Santa Giulia. CIR:015146-CNI,174888306,Nicola,,ROGOREDO,45.43728,9.2458,Entire home/apt,78,1,11,2019-09-24,0.21,1,2,0,
23273768,Comfortable apartment in the famous Zona Tortona,25262938,Vincenzo,,TORTONA,45.45431,9.1535,Entire home/apt,85,3,29,2022-06-27,0.52,1,198,10,
23124947,Da Fede e Tamy : Un’incantevole mansarda!,24922632,Federico,,QT 8,45.48384,9.13586,Entire home/apt,130,1,3,2022-09-11,3,1,80,3,
23447766,Lord Maroni casa,171106331,Sunday Oyakhire Ikhuosho,,COMASINA,45.52947,9.1604,Private room,1272,15,20,2019-05-25,0.37,1,365,0,
23134068,Charming Apartment in the heart of Milan,12914311,Stefano,,MAGENTA - S. VITTORE,45.45936,9.17214,Entire home/apt,1000,5,2,2022-06-12,0.05,1,0,1,
23283884,Comfortable Studio Flat Milano Navigli,122627289,Stefano,,NAVIGLI,45.44967,9.1626,Entire home/apt,75,2,34,2022-07-03,0.62,2,271,7,015146-CNI-03387
23461379,Nice single room & private bathroom in Milano,61897999,Giorgio,,ADRIANO,45.51725,9.24688,Private room,44,2,135,2022-09-10,2.45,1,46,37,
23285281,Gambara M1 Undeground Comfortable Flat,16366171,Cleanbnb,,BANDE NERE,45.46491,9.13806,Entire home/apt,84,2,15,2022-08-13,0.30,125,74,5,
23136780,Nerino Apartment with two bedroom and terrace,5047682,Brera Apartments,,DUOMO,45.46154,9.18392,Entire home/apt,609,1,2,2018-06-09,0.04,34,172,0,
23462497,"Casa su due piani, affacciata su San Siro",110314626,Margherita,,S. SIRO,45.47513,9.11807,Entire home/apt,44,2,40,2020-02-25,0.73,1,13,0,
23139421,CORSO COMO A12 APARTMENT,165351128,Gianluca Ed Elena,,GARIBALDI REPUBBLICA,45.48124,9.18987,Entire home/apt,174,2,4,2022-07-26,0.35,24,293,4,
23285561,My Monolocale,141105963,Federico,,STADERA,45.43237,9.17788,Entire home/apt,32,3,7,2018-04-30,0.13,1,0,0,
23463994,Cool apartment for young couple with kid,41433272,Lucia,,S. CRISTOFORO,45.44071,9.15369,Entire home/apt,100,3,1,2018-04-22,0.02,1,258,0,
23286079,Olona Place loft,79461541,Paolo,,MAGENTA - S. VITTORE,45.46031,9.17194,Entire home/apt,78,2,38,2022-06-26,0.68,5,31,9,
23287280,Private room in bright and cosy artist's flat!,5544207,Alice,,BUENOS AIRES - VENEZIA,45.4762,9.2222,Private room,79,1,8,2021-10-24,0.14,2,338,1,
23141312,Cozy and elegant studio Fiera Milano City,171984324,Elisabetta,,WASHINGTON,45.46661,9.15425,Entire home/apt,165,3,3,2022-05-01,0.05,2,258,2,015146-CIM-02826
23474558,CASA SARPI 3 zona Centro Milano,175216274,Cristina,,SARPI,45.4817,9.18057,Entire home/apt,68,2,121,2022-08-21,2.25,1,326,41,"SUAP Comune di Milano 
BFFCST65S54F205Q-09042018-1144

CIR 015146-CNI-00747"
23141848,BRERA 20 APARTMENT,165351128,Gianluca Ed Elena,,BRERA,45.47559,9.18399,Entire home/apt,210,2,11,2022-05-25,0.22,24,114,4,
23298307,Premium Apt. in the historic Brera design district,2106643,Sebastiano,,BRERA,45.47432,9.1873,Entire home/apt,586,5,2,2022-06-12,0.04,1,124,1,
23478763,Cozy and nice flat in Milan central area,175262009,Annamaria,,GHISOLFA,45.48843,9.16575,Entire home/apt,87,2,5,2020-02-24,0.12,1,0,0,
23298371,HemerasBoutiqueHomes:design apartment in center,24494032,Hemeras,,DUOMO,45.46153,9.19033,Entire home/apt,176,1,16,2022-01-11,0.59,27,74,5,015146-LIM-00158
23142276,Orti House,47917527,Alessandra,,GUASTALLA,45.45498,9.20045,Entire home/apt,67,1,6,2019-07-05,0.11,1,0,0,
23479906,Zona Tortona - Design district,175269960,Emanuela,,WASHINGTON,45.45754,9.15651,Entire home/apt,750,7,1,2022-06-14,0.32,1,355,1,
23142751,Luxury home with garden in center of Milan,29469698,Marilla,,BUENOS AIRES - VENEZIA,45.47407,9.21288,Entire home/apt,400,5,1,2022-06-14,0.32,1,78,1,
23142851,ALFA HOUSE,169764189,Hamed,,CITTA' STUDI,45.47299,9.2241,Private room,36,1,267,2020-10-26,4.76,2,0,0,+393662410859
23298468,HemerasBoutiqueHomes:design apartment in center #2,24494032,Hemeras,,DUOMO,45.46153,9.19033,Entire home/apt,241,1,6,2021-10-13,0.23,27,69,1,015146-LIM-00158
23298521,HemerasBoutiqueHomes:design apartment in center#10,24494032,Hemeras,,DUOMO,45.46153,9.19033,Entire home/apt,217,1,8,2022-06-14,0.15,27,88,3,015146-LIM-00157
23298602,HemerasBoutiqueHomes:design apartment in center #4,24494032,Hemeras,,DUOMO,45.46153,9.19033,Entire home/apt,190,1,29,2022-05-24,0.86,27,83,4,015146-LIM-00168
23480252,Bella camera  matrimoniale Repubblica Porta Nuova,175252753,Irene,,GARIBALDI REPUBBLICA,45.48162,9.19727,Private room,144,3,1,2022-09-11,1,1,83,1,
23298711,HemerasBoutiqueHomes:design apartment in center#11,24494032,Hemeras,,DUOMO,45.46153,9.19033,Entire home/apt,195,1,8,2022-06-05,0.16,27,89,3,015146-LIM-00157
23480481,The heart of Navigli & Design District.,138397036,Leonardo,,NAVIGLI,45.45585,9.16992,Entire home/apt,171,2,122,2022-09-10,2.27,1,253,36,015146-CNI-00913
23299281,HemerasBoutiqueHomes:design apartment in center #5,24494032,Hemeras,,DUOMO,45.46153,9.19033,Entire home/apt,213,1,29,2022-06-15,1.10,27,89,6,015146-LIM-00173
23574853,Freshly renewed apartment in Bocconi/Navigli area,25571177,Patrizia,,VIGENTINA,45.44926,9.19637,Entire home/apt,94,2,19,2022-09-13,0.35,4,22,9,
23484251,Suite in Porta Venezia,17711259,Michela,,BUENOS AIRES - VENEZIA,45.47604,9.20237,Private room,120,1,14,2022-07-19,0.34,1,0,4,
23578705,Elegante bilocale zona centro 1 Milano,64525873,Shouly,,XXII MARZO,45.46779,9.20727,Entire home/apt,193,1,3,2022-09-11,0.06,1,86,1,
23300297,Classic Milanese interiors in NoLo,173485352,Paola,,LORETO,45.49577,9.21814,Private room,65,2,2,2018-04-20,0.04,1,0,0,
23484460,La Casa di Boa,16605480,Rosanna,,GARIBALDI REPUBBLICA,45.48369,9.18413,Entire home/apt,92,2,3,2019-06-16,0.07,3,104,0,
23301195,HemerasBoutiqueHomes:design apartment in center #3,24494032,Hemeras,,DUOMO,45.46153,9.19033,Entire home/apt,203,1,15,2022-06-11,0.29,27,86,3,015146-LIM-00168
23490094,Stylish indipendent flat in Milan west center,175281462,Francesca,,SARPI,45.48771,9.16447,Entire home/apt,150,2,0,,,1,0,0,
23301290,*NEW* Design apartment with large sunny terrace,4148408,Cristina,,BUENOS AIRES - VENEZIA,45.47676,9.2114,Entire home/apt,265,3,9,2021-08-30,0.16,1,0,0,
23586433,Elegant liberty apartment in the heart of Milan,115445905,Antonio,,BUENOS AIRES - VENEZIA,45.48503,9.21067,Entire home/apt,129,2,42,2022-09-07,0.78,1,164,1,
23588964,Bright studio with view,27301076,Guido,,FARINI,45.4931,9.18217,Entire home/apt,55,60,16,2022-07-24,0.29,1,0,11,
23491306,"""El apartamentin"" a due passi dai Navigli",175399722,Luciana,,TIBALDI,45.44156,9.17316,Entire home/apt,54,2,79,2020-01-26,1.45,1,8,0,
23590711,Appartamento ristrutturato luminoso indipendente,134496851,Claudio,,AFFORI,45.51009,9.17824,Entire home/apt,350,4,0,,,1,365,0,
23304231,The Best Rent - Loft close to Fieramilanocity,4417813,The Best Rent,,DE ANGELI - MONTE ROSA,45.47696,9.14669,Entire home/apt,140,1,6,2022-02-27,0.11,139,0,2,015146-LNI-00399
23512781,"MODERN, LOVELY & COZY FLAT",153486206,Davide,,DERGANO,45.49855,9.17267,Entire home/apt,69,3,15,2022-09-06,0.28,1,326,7,
23304510,Beautiful Apartment Milan Design district,5519056,Paola,,TORTONA,45.4559,9.16034,Entire home/apt,125,3,0,,,1,0,0,
23594800,Bellissimo appartamento in Centro a Milano,44782431,Luca,,TICINESE,45.45586,9.17466,Entire home/apt,60,2,128,2021-06-30,2.34,1,0,0,
23513285,Modern apartment in the city center,129026905,Massimiliano,,TICINESE,45.45653,9.1753,Entire home/apt,300,1,0,,,1,0,0,
23595811,Modern New Apartment 1km from Duomo - 5 Guests,5053160,Laura,,DUOMO,45.45863,9.18234,Entire home/apt,424,1,86,2022-08-28,1.56,24,158,26,015146-CIM-01737
23307669,Ampio e luminoso appartamento vicino Porta Venezia,4406944,Marcello,,BUENOS AIRES - VENEZIA,45.47497,9.22213,Entire home/apt,215,2,8,2022-05-10,0.15,1,107,2,
23515851,Modern flat near Sempione Park free Private Garage,104304358,Roberto,,SARPI,45.48332,9.1769,Entire home/apt,82,2,58,2021-08-30,1.07,1,0,0,015146-CNI-03420
23314210,Caesar Apartament,133920553,Renthouse,,VIGENTINA,45.44588,9.1967,Entire home/apt,200,1,49,2020-02-12,0.88,18,0,0,
23319973,Single room,173655150,Tiziano,,S. CRISTOFORO,45.44087,9.15674,Private room,26,1,1,2018-02-17,0.02,1,0,0,
23596622,Charming flat in the heart of Milan,101880624,Costantina,,PAGANO,45.46684,9.15816,Entire home/apt,92,1,179,2022-09-09,3.28,1,60,57,
23516060,Loft in Darsena,88010863,Alberto,,TICINESE,45.45406,9.17836,Entire home/apt,160,10,5,2019-10-20,0.09,1,76,0,
23601580,Pied-à-terre in Lambrate,4358591,Davide,,CITTA' STUDI,45.48436,9.23137,Entire home/apt,60,1,1,2022-06-26,0.37,1,259,1,
23325469,Cozy Flat in Porta Venezia (city center),6720931,Cinzia,,BUENOS AIRES - VENEZIA,45.47899,9.21324,Entire home/apt,170,4,14,2022-08-14,0.26,2,8,3,015146-CNI-02330
23516317,Double room in Villa close to Rho Fiera,798186,Silvia,,VILLAPIZZONE,45.49497,9.15577,Private room,67,2,10,2022-07-05,0.19,3,168,9,
23603447,"Double room, private bathroom @Milan Buenos Aires",90787512,Andrea,,BUENOS AIRES - VENEZIA,45.48321,9.21925,Private room,200,1,1,2018-04-19,0.02,1,0,0,
23516596,Single room in Villa close ti Rho Fiera,798186,Silvia,,VILLAPIZZONE,45.49445,9.15589,Private room,70,1,2,2018-05-13,0.04,3,32,0,
23606156,Apartment - city center - Salone del Mobile,2338303,Massimo,,MAGENTA - S. VITTORE,45.45991,9.17245,Entire home/apt,280,2,0,,,1,0,0,
23329715,"Explore Isola from a Hip, Pared-down Apartment",961570,Thaon,,ISOLA,45.49279,9.18786,Entire home/apt,293,4,14,2020-01-01,0.26,1,0,0,
23517812,rino home,39208299,Amnon,,CORSICA,45.4616,9.23425,Entire home/apt,49,3,2,2018-04-12,0.04,1,0,0,
23332885,Large Double Room with private bathroom,77063716,Emilio E Marie,,BUENOS AIRES - VENEZIA,45.47228,9.22072,Private room,100,2,17,2019-10-20,0.31,1,0,0,
23334665,Bohemian Attic @Navigli Area - Tortona District,56850522,Vittoria,,NAVIGLI,45.45395,9.17141,Entire home/apt,245,4,2,2019-04-12,0.04,1,0,0,
23607671,Accogliente appartamento in zona San Siro,76504171,Bruno,,SELINUNTE,45.46887,9.1335,Entire home/apt,259,3,10,2022-06-12,0.18,1,83,5,
23518911,Calda e cofortevole in legno,97229176,Flavio,,DERGANO,45.50208,9.17826,Private room,21,1,88,2019-06-16,1.60,1,0,0,
23610191,Appartamento nuovo con fibra ottica 1000 MB/sec.,31536632,Gabriele,,BANDE NERE,45.46634,9.14579,Entire home/apt,51,4,13,2022-09-08,0.24,5,95,6,
23335764,Exceptional Apartment in the Center of Milan,39227303,Marina,,BUENOS AIRES - VENEZIA,45.48148,9.20982,Entire home/apt,290,2,28,2022-07-12,0.51,2,79,10,015146-CNI-00749
23531821,Wonderful four-rooms apartment Duomo view,175798551,Alessandra,,DUOMO,45.4628,9.1931,Entire home/apt,238,2,222,2022-09-03,4.09,1,31,61,
23346027,Modern apartment in CityLife area,173922527,Clemente,,PORTELLO,45.48248,9.15416,Entire home/apt,116,3,42,2022-07-10,0.86,1,238,12,015146-CNI-00827
23610641,Spacious double bedroom near city centre,8008347,Oscar,,LORETO,45.49232,9.21863,Private room,40,1,27,2018-08-12,0.49,1,0,0,
23532634,Beautiful flat in ISOLA!,50102876,Federico,,ISOLA,45.48655,9.1901,Entire home/apt,75,4,74,2022-09-06,1.35,1,128,6,
23610966,Single room 2 in the heart of Milan,52857023,Vanessa,,WASHINGTON,45.46331,9.15421,Private room,50,3,2,2022-06-10,0.05,4,133,1,
23347079,big room in Milan,86688367,Fabio,,GHISOLFA,45.49382,9.15824,Private room,90,1,0,,,1,0,0,
23532766,Tour Milan From a Piazzale Cadorna Apartment,41735887,Milan Home,,MAGENTA - S. VITTORE,45.46975,9.17536,Entire home/apt,1150,30,12,2020-01-19,0.24,1,0,0,
23348490,Stanza Singola in affitto. Single Room for rent.,28418622,Federico,,CENTRALE,45.49639,9.21651,Private room,41,2,0,,,1,161,0,
23534713,LauraPiace Navigli - Tortona - CattolicaUniversity,175820231,Laura,,MAGENTA - S. VITTORE,45.45871,9.17096,Entire home/apt,176,5,27,2022-08-14,0.49,1,162,7,
23612508,COZY APT. Near Navigli AC +WIFI,21526294,Michele,,STADERA,45.43732,9.17763,Entire home/apt,92,6,44,2022-08-31,0.80,3,171,2,
23535835,GreenHouse,133069840,Aura,,TIBALDI,45.43777,9.17863,Entire home/apt,100,2,4,2020-02-23,0.11,1,0,0,
23619087,LOCAL STYLE CLOSE TO CENTRAL STATION,176712792,Barbara,,LORETO,45.48897,9.21724,Entire home/apt,73,1,90,2019-12-30,1.64,1,0,0,
23349467,"Relax with style, cosy, ""hygge"" home, at Piazza Tricolore in Milan",15648888,Nicoletta,,XXII MARZO,45.46726,9.20861,Entire home/apt,152,1,126,2022-09-12,2.47,2,226,57,015146-CNI-01031
23538081,Private Room In Viale Umbria,160379025,Giovanni,,UMBRIA - MOLISE,45.45337,9.21759,Private room,43,2,23,2022-09-11,0.43,1,5,20,
23351580,HomeDesign -Fiera Milanocity/ Rho FieraMilano-,61685316,Ciro,,VILLAPIZZONE,45.49675,9.14987,Entire home/apt,80,2,1,2018-04-19,0.02,1,0,0,
23622668,Susa Studios - panoramico bilocale,37783361,Federica Riva,,BUENOS AIRES - VENEZIA,45.46872,9.22348,Entire home/apt,65,2,2,2018-09-01,0.04,12,0,0,
23622699,Cozy apartment on the Canal - MM1,26778240,Sarah,,VIALE MONZA,45.50506,9.2264,Private room,25,2,3,2019-04-10,0.06,1,30,0,
23538385,Bilocale Nolo-pasteur brevi periodi,12691088,Andreab,,LORETO,45.49174,9.22379,Entire home/apt,50,1,2,2018-03-17,0.04,1,45,0,
23351942,Your piede-a-terre in Milan Centre,123389351,Bruno,,CENTRALE,45.47997,9.20187,Entire home/apt,77,2,113,2022-09-12,2.69,2,50,49,
23542922,Cozy bedroom in center of Milan (S. Agostino),26040745,Giacomo,,MAGENTA - S. VITTORE,45.45872,9.169,Private room,40,1,1,2018-04-21,0.02,2,0,0,
23352291,Cozy and bright apt in Chinatown,23511241,Giulia,,SARPI,45.48259,9.17485,Entire home/apt,300,2,0,,,1,0,0,
23352310,Large Studio Flat in Milan Centre,39227303,Marina,,BUENOS AIRES - VENEZIA,45.48217,9.21058,Entire home/apt,290,2,39,2022-05-08,0.70,2,80,4,015146-CNI-00749
23623329,Casa da Suite Sky,14743308,Casa Da Suite,,VILLAPIZZONE,45.49105,9.15034,Entire home/apt,131,1,28,2020-10-09,0.52,114,336,0,
23551259,Room @ Nolo in spacious flat with gorgeous terrace,3950325,Giuliana,,LORETO,45.4911,9.21843,Private room,140,4,1,2018-04-19,0.02,1,0,0,
23625311,Quiet double room with breakfast,97979156,Ruzena,,GIAMBELLINO,45.43982,9.12044,Private room,45,2,30,2022-06-12,0.56,1,5,5,
23352458,Splendido Loft - Zona Isola,173996647,Francesco,,ISOLA,45.48839,9.18415,Entire home/apt,79,2,25,2019-04-14,0.46,1,0,0,
23551491,Graziosa camera in appartamento centrale,9054011,Alessandra,,BUENOS AIRES - VENEZIA,45.47354,9.22106,Private room,110,2,4,2019-04-13,0.07,1,0,0,
23354585,Cozy flat on Naviglio Grande,26663135,Marta,,S. CRISTOFORO,45.44584,9.15305,Entire home/apt,58,2,4,2018-04-28,0.07,1,0,0,
23625900,confortevole mansarda,39572137,Gianni,,UMBRIA - MOLISE,45.4489,9.217,Entire home/apt,50,3,23,2020-02-29,0.42,1,0,0,
23553451,Large Apt Isola near arrivals trains bus airport,99632151,Elisa E Marco,,ISOLA,45.48843,9.19151,Entire home/apt,190,3,94,2022-09-13,1.72,2,81,37,
23626215,Brand new Apartment,21629034,Tommaso,,XXII MARZO,45.45558,9.21578,Entire home/apt,130,1,3,2019-06-23,0.06,6,319,0,
23355786,Comfy and cozy 2 bedroom apartment in Milan,17520323,Vanessa,,TRIULZO SUPERIORE,45.42689,9.24879,Entire home/apt,57,2,33,2022-09-12,0.60,1,14,10,
23554730,B&B Blu Escorial - comoda stanza con bagno privato,167343764,Annalisa,,BUENOS AIRES - VENEZIA,45.48323,9.21592,Private room,86,2,32,2022-07-17,0.58,1,78,20,
23725970,Easy life in City Life,176583518,Marina,,DE ANGELI - MONTE ROSA,45.47683,9.14911,Entire home/apt,60,1,0,,,1,0,0,
23626567,CASA LUCIA,160283598,Francesca,,PARCO LAMBRO - CIMIANO,45.48923,9.2335,Entire home/apt,90,5,13,2022-06-11,0.24,1,8,1,+393470466989
23555579,Original and artistic apartment in CHINATOWN!,18467470,Camilla,,SARPI,45.48195,9.17651,Entire home/apt,135,2,1,2018-04-22,0.02,1,0,0,
23637087,Chalet di città zona Lambrate,16787987,Francesca,,CITTA' STUDI,45.48532,9.23296,Private room,45,1,13,2020-02-23,0.28,1,0,0,
23728489,ATTICO ZONA BOVISA  - CHARMING ATTIC WITH TERRACE,3866029,Stefania,,BOVISA,45.50023,9.16222,Entire home/apt,290,2,2,2019-04-12,0.04,1,118,0,
23560534,MONTENAPOLEONE - SANT'ANDREA COZY APARTMENT,176052003,Maria Vittoria,,DUOMO,45.46993,9.19516,Entire home/apt,175,2,23,2022-08-01,0.42,1,84,7,
23730212,Panoramic view over the Alps,47159540,Alexander,,GALLARATESE,45.49323,9.10975,Entire home/apt,65,2,21,2022-08-28,0.39,4,65,6,
23731250,Luminosa stanza privata in zona Tortona,36772637,Margherita,,TORTONA,45.45014,9.15851,Private room,35,2,22,2019-01-18,0.41,1,0,0,
23637576,Lovely and stylish apartment in Milan,56872041,Michela,,NAVIGLI,45.4489,9.17583,Entire home/apt,150,2,1,2018-03-18,0.02,1,0,0,
23638031,Private room in the heart of Milan,52857023,Vanessa,,WASHINGTON,45.46286,9.15538,Private room,85,2,2,2019-04-11,0.04,4,0,0,
23560629,COMFY & COSY LOFT BETWEEN CENTRAL STATION & DUOMO,6086308,Tadzio,,CENTRALE,45.48182,9.20526,Entire home/apt,93,1,264,2022-09-07,4.82,7,156,70,
23639711,Accogliente bilocale in città studi..,63443753,Ivana,,BUENOS AIRES - VENEZIA,45.47426,9.21925,Entire home/apt,80,3,21,2020-02-25,0.45,1,39,0,345
23736531,Nice two-rooms apartment in Darsena,177980950,Carlotta,,TICINESE,45.45136,9.18378,Entire home/apt,70,2,5,2019-03-21,0.12,1,0,0,
23569788,Appartamento in Lambrate district,8154599,Antonio,,LAMBRATE,45.4807,9.24427,Entire home/apt,40,3,2,2018-04-22,0.04,1,0,0,
