neighbourhood_group,neighbourhood
,Charleswood - Tuxedo - Westwood
,Daniel McIntyre
,Elmwood - East Kildonan
,Fort Rouge - East Fort Garry
,Mynarski
,North Kildonan
,Old Kildonan
,Point Douglas
,River Heights - Fort Garry
,St. Boniface
,St. James
,St. Norbert - Seine River
,St. Vital
,Transcona
,Waverley West
