id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
832048,Domus Decumana in the heart of town,4347916,Claudia,,San Giuseppe,40.84885,14.25443,Entire home/apt,140,3,20,2022-09-03,0.18,1,342,15,
836923,Studios in the hearth of Neaples,4373872,Rossella,,San Ferdinando,40.83567,14.24371,Entire home/apt,52,2,237,2022-08-28,2.01,1,81,23,
176475,Panoramic and charming house with terraces,843983,Licia,,Chiaia,40.83592,14.23648,Entire home/apt,190,2,231,2020-01-06,1.87,2,45,0,
845316,Napoli forever nice central home,3440213,Maria Rosaria,,Avvocata,40.85299,14.23456,Entire home/apt,65,5,40,2022-08-29,0.35,1,301,5,
185205,Cozy Room in the City Center - B&B Sant'Elmo Blu,888871,Annamaria,,San Lorenzo,40.85576,14.26332,Private room,60,1,64,2019-11-01,0.48,2,72,0,
846566,Apartment on Via Toledo next to Galleria Umberto,4420516,Fabio,,San Ferdinando,40.839676,14.249595,Entire home/apt,117,1,379,2022-08-16,3.31,3,327,63,
191818,B&B Naples Chiaia close to metro Amedeo,928273,Federico,,Chiaia,40.83694,14.23259,Private room,36,1,419,2022-08-21,3.76,2,324,41,
192478,Simple apartment in Naples center,932290,Peter,,Pendino,40.84735,14.25829,Entire home/apt,28,5,135,2022-08-14,1.04,1,116,13,
877667,TRIBU' stylish apartament 4 bedrooms,4625183,Alessandra,,San Lorenzo,40.84981,14.25858,Entire home/apt,238,2,86,2022-08-15,0.74,5,316,21,
199327,"""SERRA"" a piazza del Plebiscito",973557,Antonio,,San Ferdinando,40.83566,14.2463,Entire home/apt,83,3,89,2022-08-18,0.70,6,186,8,
877913,A wonderful penthouse in Naples,4639096,Claudia,,San Lorenzo,40.85492,14.26043,Entire home/apt,123,2,268,2022-07-29,2.31,1,192,7,
209277,charming apartment and guided tours,1031133,Elisabetta,,San Giuseppe,40.84587,14.25115,Entire home/apt,80,1,284,2022-08-05,2.16,4,313,17,
883467,TRIBU' b&b - the art room,4625183,Alessandra,,San Lorenzo,40.85068,14.25647,Private room,88,1,20,2022-08-03,0.18,5,301,3,
209278,charming small apartment and tours,1031133,Elisabetta,,San Giuseppe,40.84586,14.25112,Entire home/apt,70,1,495,2022-08-22,3.73,4,326,8,
886781,B&B Villa Quaranta #CameraViola,4701513,Sara,,San Giovanni a Teduccio,40.82243,14.32194,Private room,70,1,14,2022-08-18,0.14,3,357,3,
210551,beautiful apt centre near the sea,808350,Giancarlo,,San Ferdinando,40.83082,14.24928,Entire home/apt,80,1,4,2016-04-24,0.03,6,72,0,0000
212791,"""Oriente"" room in the heart of historical center.",14169118,Gigi,,San Giuseppe,40.84877,14.25412,Private room,80,3,1,2022-05-09,0.23,7,277,1,
212824,"""Shuma"" room in the heart of historical center.",14169118,Gigi,,San Lorenzo,40.85072,14.2539,Private room,80,2,8,2016-09-18,0.07,7,293,0,
913954,Small Flat with Common Terraces Main Street Toledo,4420516,Fabio,,San Ferdinando,40.8389,14.24843,Entire home/apt,108,1,420,2022-08-30,3.72,3,325,83,
213835,Bed and Breakfast Sant'Elmo Bianca,888871,Annamaria,,San Lorenzo,40.85471,14.26114,Private room,50,1,337,2022-08-16,2.66,2,72,11,
215400,B&B Il Viaggiatore: stanza Gialla,1191263,Giuliano,,San Giuseppe,40.84797,14.25014,Private room,135,2,0,,,4,343,0,
927552,Tribù- room 1 white mosaic- wifi free,4625183,Alessandra,,San Lorenzo,40.85038,14.25732,Private room,101,1,1,2022-07-31,0.64,5,303,1,
216439,A house to leave Naples,1117036,Giuseppe,,San Ferdinando,40.83736,14.24489,Entire home/apt,55,2,4,2021-07-26,0.04,2,313,0,
219847,Apartment in good place to Naples,1139171,Rosana,,Chiaia,40.83284,14.22102,Entire home/apt,65,3,27,2019-04-30,0.23,1,52,0,
221739,Friendly Room in House Napoli,757341,Sabrina & Valentina,,San Lorenzo,40.85488,14.26221,Private room,30,2,54,2015-06-19,0.42,1,198,0,
935301,OLD TOWN FLAT NAPLES,4918472,Emanuela,,San Lorenzo,40.84955,14.25768,Entire home/apt,81,3,232,2022-09-09,2.05,2,73,40,
936832,unaterrazzasulgolfo home holidays,5057288,Teresa,,Vomero,40.84197,14.23465,Entire home/apt,110,2,17,2019-10-13,0.17,1,336,0,
228404,"B&B Il Viaggiatore , Napoli",1191263,Giuliano,,San Giuseppe,40.84725,14.25132,Entire home/apt,250,2,51,2022-09-11,0.38,4,337,6,48/C/2007
940413,Quite place in the middle of Naples,5082697,Ananda,,Montecalvario,40.84669,14.23945,Private room,26,7,102,2022-08-19,0.89,1,290,7,
237997,"""Suite"" room in the heart of historical center.",14169118,Gigi,,San Giuseppe,40.848,14.25444,Private room,80,3,1,2021-08-22,0.08,7,292,0,
943811,Characteristic Naples Via Toledo ENTIRE APARTMENT,2298516,Lucio & Clara Pia,,San Giuseppe,40.84377,14.25024,Entire home/apt,90,2,60,2020-08-27,0.53,1,1,0,
246763,LOFT IN CENTRE SANITATION AND FLEXIBLE REFUND,1294174,Claudio,,San Giuseppe,40.84592,14.24975,Entire home/apt,100,3,29,2020-02-26,0.38,2,0,0,
949126,Tribù - stylish apartment centrally,4625183,Alessandra,,San Lorenzo,40.85149,14.25725,Entire home/apt,214,2,40,2022-08-23,0.38,5,295,26,
248199,My Seagull Bed and Breakfast,71313946,Marisa,,Avvocata,40.85253,14.24008,Private room,55,3,7,2017-09-14,0.09,6,13,0,
960793,Studio Val for an original stay,1409200,Fabrizia,,Posillipo,40.79385,14.18615,Entire home/apt,40,3,29,2022-09-14,0.37,4,334,7,
251610,My Seagull Bed and Breakfast,71313946,Marisa,,Avvocata,40.85274,14.24012,Private room,85,3,6,2022-08-24,0.08,6,156,3,
994105,Old room in an ancient building,11929605,Alessandra,,Avvocata,40.85066,14.24076,Private room,27,10,173,2022-09-07,1.50,1,316,9,
