neighbourhood_group,neighbourhood
Thames-Coromandel District,Thames Ward
Timaru District,Geraldine Ward
Timaru District,Pleasant Point-Temuka Ward
Timaru District,Timaru Ward
Upper Hutt City,Area Outside Ward
Waikato District,Awaroa ki Tuakau Ward
Waikato District,Eureka Ward
Waikato District,Hukanui-Waerenga Ward
Waikato District,Huntly Ward
Waikato District,Newcastle Ward
Waikato District,Ngaruawahia Ward
Waikato District,Onewhero-Te Akau Ward
Waikato District,Raglan Ward
Waikato District,Tamahere Ward
Waikato District,Whangamarino Ward
Waimakariri District,Kaiapoi-Woodend Ward
Waimakariri District,Oxford-Ohoka Ward
Waimakariri District,Rangiora-Ashley Ward
Waimate District,Hakataramea-Waihaorunga Ward
Waimate District,Lower Waihao Ward
Waimate District,Pareora-Otaio-Makikihi Ward
Waimate District,Waimate Ward
Waipa District,Cambridge Ward
Waipa District,Kakepuku Ward
Waipa District,Maungatautari Ward
Waipa District,Pirongia Ward
Waipa District,Te Awamutu Ward
Wairoa District,Wairoa General Ward
Waitaki District,Ahuriri Ward
Waitaki District,Corriedale Ward
Waitaki District,Oamaru Ward
Waitaki District,Waihemo Ward
Waitomo District,Te Kuiti Ward
Waitomo District,Waitomo Rural Ward
Wellington City,Motukairangi/Eastern Ward
Wellington City,Paekawakawa/Southern Ward
Wellington City,Pukehīnau/Lambton Ward
Wellington City,Takapū/Northern Ward
Wellington City,Wharangi/Onslow-Western Ward
Western Bay of Plenty District,Kaimai Ward
Western Bay of Plenty District,Katikati-Waihi Beach Ward
Western Bay of Plenty District,Maketu-Te Puke Ward
Westland District,Hokitika Ward
Westland District,Northern Ward
Westland District,Southern Ward
Whakatane District,Galatea-Murupara Ward
Whakatane District,Rangitāiki Ward 
Whakatane District,Tāneatua-Waimana Ward 
Whakatane District,Whakatāne-Ōhope Ward 
Whanganui District,Area Outside Ward
Whangarei District,Bream Bay Ward
Whangarei District,Denby Ward
Whangarei District,Hikurangi-Coastal Ward
Whangarei District,Mangakahia-Maungatapere Ward
Whangarei District,Okara Ward
Whangarei District,Whangarei Heads Ward
