id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
27775041,All Bunked Up! New bathroom & washer/dryer!,5448602,Maureen,,"Hawthorne, Barnaby Woods, Chevy Chase",38.96679,-77.07738,Private room,57,31,110,2022-08-25,2.26,4,351,28,
28522288,Private Bed+Bath near Convention Center,38658582,Becky,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91637,-77.00238,Private room,46,31,109,2020-03-13,2.26,2,0,0,
26895761,Historic Garden-Level Apartment in Eastern Market,54872941,Carolyn,,"Capitol Hill, Lincoln Park",38.88498,-76.99093,Entire home/apt,160,2,203,2022-08-29,4.07,1,111,56,Hosted License: 5007242201000898
28544907,En Suite Grande💎Perfect for Work & Long Stays,159982035,K.A.,,"Congress Heights, Bellevue, Washington Highlands",38.82689,-77.00995,Private room,48,31,11,2022-03-02,0.25,2,290,3,
28563385,Private studio Dupont Circle only 1 block to metro,16913670,Mason,,"Dupont Circle, Connecticut Avenue/K Street",38.91097,-77.04358,Entire home/apt,95,60,10,2022-05-27,0.25,1,258,3,
27782885,Modern English basement apt near H St Corridor,4670333,Christina,,"Ivy City, Arboretum, Trinidad, Carver Langston",38.90288,-76.98545,Entire home/apt,119,2,125,2022-08-29,2.60,1,12,29,Hosted License: 5007242201000098
26940356,Historic Capitol Hill Row House,76443009,Sara And Casey,,"Capitol Hill, Lincoln Park",38.89117,-76.99776,Entire home/apt,195,2,67,2022-08-27,1.35,1,0,9,Hosted License: 5007262201001068
27812605,★STAYBNBDC★Patio★DupontCircle★PetsOK★FASTwifi★Roku,487806,Stay BnB DC,,"Dupont Circle, Connecticut Avenue/K Street",38.91142,-77.04789,Entire home/apt,142,30,98,2022-05-27,1.97,31,83,9,Exempt
26950500,Capitol Hill #8-1 Intern & Student Housing B&B,146624030,Sireenat,,"Capitol Hill, Lincoln Park",38.8777,-76.9892,Shared room,29,1,3,2022-03-30,0.08,33,359,2,Exempt
27812793,★STAYBNBDC★𓃡PetsOK𓃠★Dupont Circle★Roku★FAST WiFi,487806,Stay BnB DC,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.91358,-77.04788,Entire home/apt,94,31,98,2022-06-02,1.97,31,49,7,Exempt
