neighbourhood_group,neighbourhood
Westmeath County Council,Kinnegad LEA-5
Westmeath County Council,Moate LEA-4
Westmeath County Council,Mullingar LEA-6
Wexford County Council,Enniscorthy LEA-6
Wexford County Council,Gorey LEA-6
Wexford County Council,Kilmuckridge LEA-4
Wexford County Council,New Ross LEA-6
Wexford County Council,Rosslare LEA-5
Wexford County Council,Wexford LEA-7
Wicklow County Council,Arklow LEA-6
Wicklow County Council,Baltinglass LEA-6
Wicklow County Council,Bray East LEA-4
Wicklow County Council,Bray West LEA-4
Wicklow County Council,Greystones LEA-6
Wicklow County Council,Wicklow LEA-6
